sentence,variant1,variant2,variant3,variant4
How is brain cancer diagnosed ?,How do they know I've got brain cancer ?,How can they tell I've got brain cancer ?,How will they tell if I have brain cancer,How will I find out if I have brain cancer ?
Does bone marrow cancer hurt ?,Will bone marrow cancer hurt ?,Will bone marrow cancer be painful ?,How much will bone marrow cancer hurt ?,Is bone marrow cancer going to hurt ?
What does paediatric mean ?,What's paediactric ?,I don't know what paediactric means,Do you know what paediatric means ?,paediatric ?
Does the sun cause cancer?,Do you get cancer from the sun,have I got cancer from the sun,how do you get cancer from the sun,Can the sun cause cancer ?
Why doesn't the doctor do my blood test ?,does a doctor do blood tests ?,why doesn't a doctor do blood tests,Why does the nurse do my blood test and not a doctor,Does a doctor do my blood test ?
Can my hickman line get wet ?,does it matter if my hickman line gets wet,I got my hickman line wet,what should I do if I get my hickman line wet,what if I get water on my hickman line
What will a CT scan feel like ?,What does a CT scan feel like ?,Will the CT scan feel funny ?,What will it feel like in the CT scanner ?,does a CT scan hurt ?
What am I having treatment for ?,why do I need treatment,What's treatment for ?,what am i getting treated for,why do i need this treatment
Can I pray in hospital ?,Is there somewhere to pray in hospital ?,Is there a prayer room in hospital,where can I pray,Am I allowed to pray in hospital ?
How do I call a nurse over ?,how do I ask for a nurse ?,How do I get a nurse to come ?,What do I do to get a nurse ?,Can I call a nurse somehow ?
Will I be asleep during the operation ?,In an operation will I be asleep ?,Do I get put to sleep for my operation ?,Will I sleep all through my operation ?,will i be unconscious during the operation ?
